region,per capita,formal wage,child mortality,disabled 18_60,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,the poor: retired,the poor: employable,regional production,retail,income,subsidies,welfare,registered crimes,felonies,misdemeanors,killed,grievous harm,children %,orphanage,adopted %,pension,retired %,living wage
 Ханты-Мансийский автономный округ - Югра,54443.0,79822.0,0.3639893229798592,2.7887189195240856,33.7,6.2,1994630.3,13.9,2.8,5.8128,90676.1,193.3,405.8,18.2,1230.3872510264673,1674676.0,8.4,55.6,1.6,42.9,4139875.290551725,258117,109652.58221365804,18257.02995292224,33491.49327989414,20945,1328,5103,222,435,25.46952365711337,25,89.0,25733.6,15.9,17140.0
 Алтайский край,23864.0,30072.0,0.4855826992390868,5.0935254186652505,88.1,17.4,291156.9,18.0,0.3,0.8642000000000001,112764.7,200.1,1272.1,3.3,862.0924039111788,2317153.0,17.5,31.4,9.2,59.4,367883.9292183123,153605,24442.87439387473,32067.902020419024,20003.12452393088,39024,1529,8887,411,647,21.153070168435143,983,59.0,16128.19,26.8,10904.0
 Смоленская область,28152.0,33139.0,0.595056454073848,5.486198311004719,72.4,7.1,386274.8,19.4,2.8,0.0,72034.9,321.6,262.8,0.0,701.0457926021164,934889.0,15.6,34.7,12.0,53.3,618954.6908777405,186156,32861.279021049566,21241.816509361,17873.56573882033,14766,729,3626,136,166,17.422389182031235,486,47.0,16581.78,28.0,11572.0
 Краснодарский край,36838.0,38499.0,0.3882839537435638,5.30138343981289,18.3,3.9,460720.2,18.1,1.2,0.7852,67335.5,147.5,277.7,5.9,1043.7035786690142,5675462.0,10.4,39.3,6.9,53.8,383176.5223095494,261857,35466.2165974629,16790.044287147022,18495.481072730287,73499,2484,13355,630,998,20.89133889012032,263,96.0,16395.760000000002,25.5,12191.0
 Ивановская область,26277.0,29083.0,0.3702234563004099,4.734704621516941,78.5,5.7,273821.5,18.1,1.5,0.5360000000000001,88473.5,270.4,516.2,0.0,758.4730252172475,997135.0,13.7,47.5,5.0,47.5,440835.2160941096,180314,23157.658432649543,36122.88481594769,16681.693050589944,13748,747,2954,137,166,18.36922783775517,382,62.0,16522.93,28.3,11535.0
 Чукотский автономный округ,89541.0,120641.0,1.48975791433892,3.515586424832944,208.7,0.0,2404271.2,14.1,1.9,0.0,128506.5,255.2,957.0,111.5,1067.8491886732422,50288.0,8.0,46.9,2.7,50.4,5195717.00604518,217089,227144.03170975173,583593.8390787067,69052.25898822781,786,24,167,28,20,25.099427298759142,60,69.0,30144.56,14.5,24711.0
 Еврейская автономная область,28048.0,46237.0,0.6853582554517134,5.846865591835311,87.0,65.4,400340.5,13.8,0.9,0.0,70367.2,656.2,635.7,20.5,1013.8656391143678,158305.0,23.6,34.8,10.8,54.4,353361.00944379525,168066,42277.36688272638,81543.92283478097,46775.52825242412,3692,111,931,40,63,23.202678374024828,336,44.0,17170.7,22.5,16336.0
 Карачаево-Черкесская Республика,18949.0,29865.0,0.4884720593982024,11.507947295046,21.7,5.4,207471.5,18.3,2.6,1.9829,63347.1,86.1,236.4,0.0,1099.3968139403,465528.0,23.2,27.6,6.9,65.5,174293.99950164114,83515,15011.27803996752,54875.86383326029,20560.09520372566,4627,507,812,33,60,22.662868828513,82,95.0,15285.6,22.0,10926.0
 Белгородская область,32841.0,37442.0,0.3805051813471503,7.250935685504578,41.3,3.2,646569.0,17.8,0.7,0.384,74637.4,136.2,388.2,0.0,797.3399623406627,1549151.0,7.2,44.8,12.9,42.3,1257652.623030292,237076,37487.163830949976,22929.91867273752,15479.12372647986,14341,628,3208,159,249,18.764729842345904,219,82.0,17438.93,27.2,10403.0
 Свердловская область,37374.0,43256.0,0.4137209883839876,4.553051352309078,50.2,12.9,588270.0,15.8,0.9,0.7248,75208.5,96.5,436.4,11.4,1020.5116082586486,4310681.0,9.0,46.3,2.2,51.5,1154113.3213847186,259875,42226.08431959126,16138.319836596582,20614.144261660746,58483,4165,9050,587,880,21.743177006138936,1725,68.0,18306.46,25.2,11550.0
